Nome: manu, Chaves: 1, Tempo: 26.74 segundos, Não conseguiu sair
Nome: manuela, Chaves: 1, Tempo: 0.00 segundos, Não conseguiu sair
Nome: manu, Chaves: 0, Tempo: 125.35 segundos, Não conseguiu sair
Nome: manu, Chaves: 0, Tempo: 55.44 segundos, Não conseguiu sair
Nome: m, Chaves: 0, Tempo: 139.80 segundos, 
Nome: leia, Chaves: 0, Tempo: 226.45 segundos, Não conseguiu sair
Nome: agnes, Chaves: 0, Tempo: 9.51 segundos, Não conseguiu sair
Nome: a, Chaves: 0, Tempo: 116.23 segundos, Não conseguiu sair
Nome: w, Chaves: 0, Tempo: 465.17 segundos, Não conseguiu sair
Nome: ab, Chaves: 0, Tempo: 206.44 segundos, 
Nome: ma, Chaves: 0, Tempo: 9.64 segundos, Não conseguiu sair
Nome: ma, Chaves: 0, Tempo: 5.39 segundos, Não conseguiu sair
Nome: ma, Chaves: 0, Tempo: 6.16 segundos, Não conseguiu sair
Nome: ma, Chaves: 0, Tempo: 33.04 segundos, Não conseguiu sair
Nome: qw, Chaves: 0, Tempo: 53.58 segundos, Não conseguiu sair
Nome: manu, Chaves: 0, Tempo: 11.12 segundos, Não conseguiu sair
Nome: manu, Chaves: 2, Tempo: 44.88 segundos, Não conseguiu sair
Nome: manu, Chaves: 0, Tempo: 5.32 segundos, Não conseguiu sair
Nome: manu, Chaves: 0, Tempo: 6.13 segundos, Não conseguiu sair
Nome: manu, Chaves: 0, Tempo: 3.73 segundos, Não conseguiu sair
Nome: manu, Chaves: 0, Tempo: 10.09 segundos, Não conseguiu sair
Nome: manu, Chaves: 1, Tempo: 10.33 segundos, Não conseguiu sair
Nome: manu, Chaves: 1, Tempo: 95.91 segundos, Não conseguiu sair
Nome: leia, Chaves: 0, Tempo: 18.47 segundos, Não conseguiu sair
Nome: mm, Chaves: 0, Tempo: 6.58 segundos, Não conseguiu sair
Nome: mm, Chaves: 0, Tempo: 112.17 segundos, Não conseguiu sair
Nome: a, Chaves: 3, Tempo: 38.31 segundos, Conseguiu sair
Nome: a, Chaves: 0, Tempo: 65.70 segundos, Não conseguiu sair
Nome: a, Chaves: 0, Tempo: 5.54 segundos, Não conseguiu sair
